cancion,artista
"Si a tu corazón yo llego igual
Todo siempre se podrá elegir
No me escribas la pared
Solo quiero estar entre tu piel

Y si acaso no brillara el Sol
Y quedara yo atrapado aquí
No vería la razón
De seguir viviendo sin tu amor

Y hoy que enloquecido vuelvo
Buscando tu querer
No queda más que el viento
No queda más que el viento

Y si acaso no brillara el Sol
Y quedara yo atrapado aquí
No vería la razón
De seguir viviendo sin tu amor

Y hoy que enloquecido vuelvo
Buscando tu querer
No queda más que el viento
No queda más que el viento

Y si acaso no brillara el Sol
Y quedara yo atrapado aquí
No vería la razón
De seguir viviendo sin tu amor",spinetta
"Tengo tiempo para saber
Si lo que sueño concluye en algo
No te apures ya más loco
Porque es entonces cuando las horas

Bajan, el día es vidrio sin Sol
Bajan, la noche te oculta la voz
Y además vos querés Sol
Despacio también podés hallar la Luna

Viejo roble del camino, tus hojas siempre se agitan algo
Nena, nena, que bien te ves
Cuando en tus ojos no importa si las horas

Bajan, el día se sienta a morir
Bajan, la noche se nubla sin fin
Y además vos sos el Sol
Despacio también podés ser la Luna",spinetta
"Si no canto lo que siento
Me voy a morir por dentro
He de gritarle a los vientos hasta reventar
Aunque solo quede tiempo en mi lugar

Si quiero me toco el alma
Pues mi carne ya no es nada
He de fusionar mi resto con el despertar
Aunque se pudra mi boca por callar

Ya lo estoy queriendo
Ya me estoy volviendo canción
Barro tal vez
Y es que esta es mi corteza
Donde el hacha golpeará
Donde el río secará para callar

Ya me apuran los momentos
Ya mi sien es un lamento
Mi cerebro escupe ya el final del historial
Del comienzo que tal vez reemprenderá

Si quiero me toco el alma
Pues mi carne ya no es nada
He de fusionar mi resto con el despertar
Aunque se pudra mi boca por callar

Ya lo estoy queriendo
Ya me estoy volviendo canción
Barro tal vez

Y es que esta es mi corteza
Donde el hacha golpeará
Donde el río secará para callar",spinetta
"Alguien debió conservar y cuidar
con amor este jardín de gente
Eso es lo que nunca será
Cómo harás para ver y aliviar
el dolor en el jardín de gente?
Algún acuerdo en tu alma tendrás

Y ya no sé si es que amanece o veo el cielo
como un gran collage

Estás ciego al creer que podrás evitar este jardín de gente
Con dinero no se inventa el amor
Ya te hartaste de frutos y peces y panes que comes sin suerte
Y el andén espera por mí

¿Y que dirás cuando termines el bocado
de tu propia flor?

Alguien debió conservar y cuidar con amor este jardín de gente
A Dios nunca se le ocurrirá
¿Cómo haras ver y aliviar el dolor en el jardín de gente?
Algún acuerdo en tu alma tendrás

Y ya no sé si es que amanece o veo el cielo
como un gran collage

El collage de la depredación humana",spinetta
"Todo camino puede andar
Todo puede andar
Con esta sangre alrededor
No sé que puedo yo mirar
La sangre ríe idiota
Como esta canción
¿Y ante quién?

Ensucien sus manos como siempre
Relojes se pudren en sus mentes ya
Y en el mar naufragó
Una balsa que nunca zarpó
Mar aquí, mar allá

En un momento vas a ver
Que ya es la hora de volver
Pero trayendo a casa todo aquél fulgor
¿Y para quién?

Las almas repudian todo encierro
Las cruces dejaron de llover
Sube al taxi, nena
Los hombres te miran
Te quieren tomar
Ojo el ramo, nena
Las flores se caen, tenes que parar
Vi la sortija muriendo en el carrousel
Vi tantos monos, nidos, platos de café
Platos de café, ah

Guarda el hilo, nena
Guarden bien tus manos
Esta libertad
Ya no poses, nena
Todo eso es en vano
Como no dormir

Aunque me fuercen yo nunca voy a decir
Que todo tiempo por pasado fue mejor
Mañana es mejor

Aquellas sombras del camino azul
¿Dónde están?
Yo las comparo con cipreses que vi
Solo en sueños
Y las muñecas tan sangrantes
Están de llorar
Yo te amo tanto que no puedo
Despertarme sin amar
Y te amo tanto que no puedo
Despertarme sin amar
Y te amo tanto que no puedo
Despertarme sin amar

¡No! Nunca la abandones
¡No! Puentes amarillos
Mira el pájaro, se muere en su jaula

¡No! Nunca la abandones
Puentes amarillos, se muere en su jaula
Mira el pájaro, puentes amarillos
Hoy te amo ya
Y ya es mañana
Mañana
Mañana
Mañana",spinetta
"Y deberás plantar
y ver así a la flor nacer
y deberás crear
si quieres ver a tu tierra en paz
el sol empuja con su luz
el cielo brilla renovando la vida

Y deberás amar
amar, amar hasta morir
y deberás crecer
sabiendo reír y llorar
la lluvia borra la maldad
y lava todas las heridas de tu alma

De tí saldrá la luz
tan sólo así serás feliz
y deberás luchar
si quieres descubrir la fe
la lluvia borra la maldad
y lava todas las heridas de tu alma
este agua lleva en sí
la fuerza del fuego
la voz que responde por tí
por mí...

y esto será siempre así
quedándote o yéndote",spinetta
"Muchacha ojos de papel
A dónde vas
Quédate hasta el alba
Muchacha pequeños pies
No corras más
Quédate hasta el alba

Sueña un sueño despacito
Entre mis manos
Hasta que por la ventana
Suba el Sol

Muchacha piel de rayón
No corras más
Tu tiempo es hoy

Y no hables más
Muchacha
Corazón de tiza
Cuando todo duerma
Te robaré un color

Y no hables más
Muchacha
Corazón de tiza
Cuando todo duerma
Te robaré un color

Muchacha voz de gorrión
A dónde vas
Quédate hasta el día
Muchacha pechos de miel
No corras más
Quédate hasta el día

Duerme un poco y yo entre
Tanto construiré
Un castillo con tu vientre
Hasta que el Sol
Muchacha te haga reír
Hasta llorar, hasta llorar

Y no hables más
Muchacha
Corazón de tiza
Cuando todos duerman
Te robaré un color",spinetta
"La indómita luz
Se hizo carne en mí (oh)
Y lo dejé todo por esta soledad
Y leo revistas en la tentación (oh)
Mi cuerpo se cae
Y solo veo la cruz al amanecer

Entonces rezo, rezo

Morí por no morir, me entregué na paixao
Y lo dejé todo por esta soledad
Y se hizo de noche y aun estoy aquí (estoy aquí)
Hice el sacrificio nena, y abracé la cruz al amanecer

Entonces rezo, rezo por vos
Rezo, rezo por vos

Y curé mis heridas
Y me encendí de amor
Y cure mis heridas
Y me encendí de amor, de amor sagrado

Rezo, rezo por vos
Rezo, rezo por vos",spinetta
"Este día empieza a crecer
Voy a ver si puedo correr
Con la mañana silbandome en la espalda
O mirarme en las burbujas

Tengo que aprender a volar
Entre tanta gente de pie
Cuidan de mis alas unos gnomos de lata
Que de noche nunca rien

Si la lluvia llega hasta aquí
Voy a limitarme a vivir
Mojare mis alas como el árbol o el ángel
O quizás muera de pena

Tengo mucho tiempo por hoy
Los relojes haran que cante

Y la espuma gira en torno a mi piel
Me han puesto manos para hablarle
A las cosas de mi
Y al fin mi duende nació
Tiene orejas blancas
Como un soplo de pan y arroz
Y un hongo como nariz
Cuatro pelos locos y un violin que nunca calla
Solo se desprende y es igual a las guirnaldas

Y es que nunca calla
Solo se desprende y es igual a las guirnaldas

Este día es algo de sal
Me dejo vibrando al nacer
Pesa y es liviano como un hilo sin nombre
Suena un poco a mi guitarra

Tengo que aprender a ser luz
Entre tanta gente detras
Me pondre las ramas de este Sol que me espera
Para usarme como al aire

Y es que al fin mi duende se abrio
Tiene un corazón de mantel y baton
Y un guiño al ver que todo es verdad
Ya los gnomos cuiden
A un violin que siempre canta
Nunca se adormece y es igual a las guirnaldas
Y es que nunca calla, solo se desprende
Y es igual a las guirnaldas",spinetta
"Has dejado noches, noches del adiós
La certeza de tus ojos cree que me voy

Has dejado un cielo para amanecerlo a la vez
Allí

Cruzas solo puentes, puentes entre ti
Las flores y el silencio son cosas de tu amor
Has dejado un río, para atravesarlo a la vez
Allí

Y es que me espera
Y cobijo me dará
Entre sus manos
Hasta que luego venga Fuji
Con el mundo
Y me hace las señales con las piernas
Desde un punto de la calle, desolada
Y es que puedo soportar esta distancia
Y es que te has impreso en mí como la luz

Cruzas solo puentes, puentes entre ti
Las flores y el desierto son cosas de tu amor
Has dejado un cielo, para amanecerlo a la vez, allí

Y es que me espera
Y cobijo me dará
Entre sus manos
Hasta que luego venga Fuji
Con el mundo
Y me hace las señales con las piernas
Desde un punto de la calle, desolada
Y es que puedo soportar esta distancia
Y es que te has impreso en mí como la luz",spinetta
"El vino entibia sueños al jadear
Desde su boca de verdeado dulzor
Y entre los libros de la buena memoria
Se queda oyendo como un ciego frente al mar
Mi voz le llegará
Mi boca también
Tal vez le confiaré
Que eras el vestigio del futuro

Rojas y verdes luces del amor
Prestidigitan bajo un halo de rouge
¿Qué sombra extraña te ocultó de mi guiño
Que nunca oíste la hojarasca crepitar?

Pues yo te escribiré
Yo te haré llorar
Mi boca besará
Toda la ternura de tu acuario

Más si la Luna enrojeciera en sed
O las impalas recorrieran tu estante
¿No volverías a triunfar en tu alma?
Yo sé que harías largos viajes por llegar

Parado estoy aquí
Esperándote
Todo se oscureció
Ya no sé si el mar descansará

Habrá crecido un tallo en el nogal
La luz habrá tiznado gente sin fe
Esta botella se ha vaciado tan bien
Que ni los sueños se cobijan del rumor

Licor no vuelvas ya
Deja de reír
No es necesario más
Ya se ven los tigres en la lluvia",spinetta
"Temprano el durazno
Del árbol cayó
Su piel era rosa
Dorada del Sol

Y al verse en la suerte
De todo frutal
A la orilla de un río
Su fe lo hizo llegar

Dicen que en este valle
Los duraznos son de los duendes

Pasó cierto tiempo
En el mismo lugar
Hasta que un buen día
Se puso a escuchar
Una melodía
Muy triste del sur
Que así le lloraba
Desde su interior

Quien canta es tu carozo
Pues tu cuerpo al fin tiene un alma
Y si tu ser estalla
Será un corazón el que sangre
Y la canción que escuchas
Tu cuerpo abrirá con el alba

La brisa de enero
A la orilla llegó
La noche del tiempo
Sus horas cumplió
Y al llegar el alba
El carozo cantó
Partiendo al durazno
Que al río cayó

Y el durazno partido
Ya sangrando está bajo el agua",spinetta
"Cuida bien al niño
Cuida bien su mente
Dale un Sol de enero
Dale un vientre blanco
Dale tibia leche de tu cuerpo

Todas las hojas son del viento
Ya que él las mueve hasta en la muerte
Todas las hojas son del viento
Menos la luz del Sol
Menos la luz del Sol

Hoy que un hijo hiciste
Cambia ya tu mente
Cuídalo de drogas
Nunca lo reprimas
Dale el áurea misma de tu sexo

Todas las hojas son del viento
Ya que él las mueve hasta la muerte
Todas las hojas son del viento
Menos la luz del Sol
Menos la luz del Sol",spinetta
"Árbol, hoja, salto, luz
Aproximación
Mueble, lana, gusto, pie
Té, marcas, miradas

Nube, loba, dedo, cal
Gesticulador
Hijo, cama, menta, sien
Rey, fin, Sol, amigo, cruz

Alga, dado, cielo, riel
Estalactita, mirador, corazón
Hombre, rayo, felpa, sed
Extremidad, insolación, parecer
Clavo, coito, Dios
Temor, mujer, por",spinetta
"Ya despiértate nena, sube al rayo al fin
Ya despiértate nena, sube al rayo al fin
Y así verás lo bueno y dulce que es amar.

Ya despiértate rayo, sube a la nena
Ya despiértate rayo, sube a la nena
Y así verás lo triste y dulce que es vivir.

Ya despiértate nena, sube al rayo al fin
Ya despiértate rayo, sube a la nena
Y así verás lo bueno y dulce que es amar.",spinetta
"Lo que sueñas y no dices tal vez será
Canción, canción
Cuando cruces la muralla donde cayó
La luz, la luz

Es tan temprano y te aburren las horas
Ya no temas a la distancia que te aparta
Te aleja de tus sueños otra vez
Ya no mires atrás

Lo que sueñas y no dices tal vez será
Canción
Cuando cruces la barrera donde cayó
La luz

Es tan temprano y te aburren las horas
Ya no temas a la distancia que te aparta
Te aleja de tus sueños otra vez
Pues ya no mires atrás
No mires atrás nena

Lo que sueñas y no dices tal vez será
Canción, canción
Cuando cruces la barrera donde cayó la luz
La luz

Es muy temprano y ya te aburren las horas
Ya no temas a la distancia que te aparta
Distancia que te aparta
Te aleja de tus sueños
Te aleja de tus sueños otra vez
Pues ya no mires atrás
Pues ya no mires atrás
Ya no mires atrás
Ya no mires atrás",spinetta
"Casualmente yo te conoci
una noche como hoy
tu vestido electrico me hirio
vos bailabas y decias
shake it, shake it, shake it, shake it baby.

Luego te mudaste con tu sequito
a mi lujosa mansion
hasta casi entro en tu narcogate
vos bailabas y decias
shake it, shake it, shake it, shake it baby.

De nuestro amor tan solo me queda hoy
un absurdo secador
me fundiste hasta el BMW
y yo lo que hago es garpar cheques
cheques, cheques, cheques, cheques.",spinetta
"Algo esta pasando hoy
es que te quiero tanto amor
ya nada esta cerrado
luce como el mundo de hoy

Me estaba preguntando
me estaba preguntando
estaba simplemente asi,
super bien

Y ellos se estaban oxidando
y yo estaba por creer en vos

No te alejes tanto amor
No te alejes tanto de mi

Me estaba preguntando
Y estaba alimentado
y estaba alucinando bien
super super
y es que estaba satinado
y estaba por pensar en vos,
en vos

Y estaba yo pensando
que era balanceado
que estabas acercandote, nena
vos acercandote

Y no, vos venias por alta
yo estaba satinado
me estabas recurriendo al fin,
nena, al fin, si

AH...
No te alejes tanto de mi.
Ah...
No te alejes tanto de mi...",spinetta
"Ven a mí
Con tu dulce luz
Alma de diamante

Y aunque el Sol
Se nuble después
Sos alma de diamante

Cielo o piel
Silencio o verdad
Sos alma de diamante

Por eso ven así
Con la humanidad
Alma de diamante

Aunque tu corazón recircule
Siga de paso o venga
Pretenda volar con las manos
Sueñe despierto o duerma

O beba el elixir
De la eternidad
Sos alma de diamante, sos alma de diamante

Bien aquí o en la eternidad
O en el más allá
Y aunque este mismo Sol se nuble después
Sos alma de un diamante

Y aunque tu decisión una lágrima haga caer
Sos alma de diamante
Sos alma de diamante
Sos alma de diamante
Sos alma de diamante",spinetta
"Ahí va el capitán Beto por el espacio
Con su nave de fibra hecha en Haedo
Ayer colectivero
Hoy amo entre los amos del aire

Ya lleva quince años en su periplo
Su equipo es tan precario como su destino
Sin embargo un anillo extraño
Ahuyenta sus peligros en el cosmos

Ahí va el capitán Beto por el espacio
La foto de Carlitos sobre el comando
Y un banderín de River Plate
Y la triste estampita de un santo

¿Dónde está el lugar
Al que todos llaman cielo?
Si nadie viene hasta aquí
A cebarme unos amargos
Como en mi viejo umbral

¿Por qué habré venido hasta aquí?
Si no puedo más de soledad
Ya no puedo más de soledad

Su anillo lo inmuniza de los peligros
Pero no lo protege de la tristeza
Surcando la galaxia del hombre
Ahí va el capitán Beto, el errante

¿Dónde habrá una ciudad
En la que alguien silbe un tango?
¿Dónde están, dónde están
Los camiones de basura
Mi vieja y el café?
Si esto sigue así como así
Ni una triste sombra quedará
Ni una triste sombra quedará

Ahí va el capitán Beto por el espacio
Regando los malvones de su cabina
Sin brújula y sin radio
Jamás podrá volver a la tierra

Tardaron muchos años hasta encontrarlo
El anillo de Beto llevaba inscripto
Un signo del alma",spinetta
"Siéntate a ver el día
mira que gusto da
ver el rayo justo
donde empieza la avenida
descálzate en el aire
para ir.

No lleves ni papeles
hay tanta gloria allí, que al final
nadie tiene un sueño sin laureles
que tu cuerpo al menos esté limpio
para ir.

Correte hasta el espacio
quiero que sepan hoy qué color es
el que robé cuando dormías
ya móntate en el rayo
para ir.",spinetta
"No hagas que me pierda yo en tu corazón
no hagas que me pierda yo en tu corazón
en el mediodía yo te escribiré
sólo que florece nuestro gran amor
sólo que florece
sólo que florece así
sólo que florece
nuestra dulce canción
es que voy por la noche vagando así
con mi farol de amor sólo quiero vivir.

No hagas que me aleje yo de tu querer
no hagas que me aleje yo de tu querer
en el mediodía yo te escribiré
sólo que florece nuestro gran amor
sólo que florece
sólo que florece así
sólo que florece
nuestra dulce canción
es que voy por la noche vagando así
con mi farol de amor sólo quiero vivir.",spinetta
"Las manos de Fermín
Giran y él también
Gira y da más vueltas

Pobrecito Fermín
Quiere ser feliz
Gira y da más vueltas

En el hospicio le darán
Agua, sol y pan
Y un ave que guarde su nombre

En el hospicio ha de morir
Y antes de callar
El ave vendrá desde el mar
Lo llevará hasta la mar

Hoy tus sueños, Fermín
Saben a aserrín
Giran y dan vueltas

Hoy tu tristeza al sol
Quiere ser real
Aunque no lo creas

En el hospicio le darán
Agua, sol y pan
Y un ave que guarde
Su nombre

En el hospicio le dirán
Pronto ha de morir
La noche izará su final
De gotera

Y el ave aquel, lo llevará

Fermín se fue a la vida, no sé cuando vendrá",spinetta
"Sé muy bien que has oído hablar de mi
Y hoy nos vemos aquí
Pero la paz en mí nunca la encontrarás
Si no es vos, en mí nunca la encontrarás

Por tu living o fuera de allí no estás
Pero hay otro que está
Y yo no soy
Yo solo te hablo desde aquí
Él debe ser la música que nunca hiciste

Viste la piel
Creíste en todo lo que te pedí
Nada salió de vos
¡Ah! Mira el fuego, oh
Las luces que saltan a lo lejos
No esperan que vayas a apagarlas
Jamás",spinetta
"Salva tu piel
La ciudad te llevó el verano
Ponte color
Que al morir los hombres son blancos
Más blancos

Que al volar sin volver
Sin volver
Que que al volar sin volver

Tu tienes pies y tienes manos
Pero no se ven
Si tus pies hoy nacieron viento
Déjalos correr
Y si tus manos con las plantas
Déjalas crecer

Vive de azul
Porque azul no tienes domingos
Ríete al fin
Que llorar trae tanto frío
Más frío

Que olvidar como ver
Que olvidar como ver

Una vez ví que no cantabas
Y no se porque
Si tienes voz tienes palabras
Déjalas caer
Cayéndose suena tu vida
Aunque no lo creas

Cuanta ciudad, cuanta sed
Y tú un hombre solo
Cuanta ciudad, cuanta sed
Y tú un hombre solo
Cuanta ciudad, cuanta sed
Y tú un hombre solo
Cuanta ciudad, cuanta sed
Y tú un hombre solo

Cuanta ciudad, cuanta sed
Y tú un hombre solo
Cuanta ciudad, cuanta sed
Y tú un hombre solo",spinetta
"Plegaria para un niño dormido
Quizás tenga flores en su ombligo
Y además, en sus dedos que se vuelven pan

Barcos de papel sin altamar
Plegaria para el sueño del niño
¿Donde el mundo es un chocolatín adonde van?
Mil niños dormidos que no están

Entre bicicletas de cristal
Se rie el niño dormido
Quizás se sienta gorrión esta vez
Jugueteando inquieto en los jardines de
Un lugar que jamás despierto encontrará

Que nadie, nadie despierte al niño
Déjenlo que siga soñando felicidad
Destruyendo trapos de lustrar
Alejándose de todo el mal",spinetta
"Justo que pensaba
en vos ( nena )
caí muerto
¿ quién le dió, al pequeño Dios
el centro gris
del abismo
solo sé que no soy yo,
a quien duerme
solo sé que no soy yo
a quien duerme

Oye díme nena,
¿ adónde ves ahora algo en mí
que no detestes?
Que solo y triste voy a estar
en este cementerio
que calor hará sin vos
en verano",spinetta
"Estoy entusiasmado con tu corazón
Todos los días así, toda mi vida
Estoy iluminado con tu sencillez
Todos los días amor, toda la vida

Dale luz al instante
Tal vez no te arrepentirás
Dale luz al instante
Y que el cielo le responda al mar
Dale luz al instante
Y es que nunca nunca te arrepentirás

Estoy entusiasmado con tu río de amor
Es una fuerza que une mi destino
Cómo haré para encantarte con la canción
Que es un anhelo que dura lo que una brisa

Solo dale luz al instante
Nunca te arrepentirás
Dale luz al instante
Y que el cielo le responda al mar

Dale luz, luz, luz
Y es que nunca te arrepentirás
Dale luz al instante
Tarde o temprano el tiempo se acabará
Al volver de su noche oscura que ya pasó
Y tú al mirarte al espejo tal vez querrás
Que se detenga el mundo solo para ti
Y eso no puede ser, no puede ser mi vida

Solo dale luz al instante
Nunca te arrepentirás
Dale luz al instante
Y que el cielo le responda al mar

Dale luz, luz, luz
Nunca te arrepentirás
Dale luz al instante
Sin sospecharlo el viento te arrebatará
Esa hoja escrita con tu mejor canción
Que ya no recordarás
Y que creías que haría una revolución
Sin amor y es que nunca funcionó
Porque no puede ser, no puede ser mi vida",spinetta
"Abre tus viejas cosas
junta tu maquillaje
alguien se acerca
cierra los ojos siéntate
dale gracias por estar
dale gracias por estar
cerca de tí

Sobre los viejos muebles
prende otro cigarrillo
que esta poesía
viene a buscarte
nada más
dale gracias por estar
dale gracias por estar
cerca de tí

Este ensueño es un silbido más
en el viento
y un guerrero no detiene jamás
su marcha

Puedes hallar la jungla
entre estos edificios
puedes rentarla
o bien destruírla
y además
dale gracias por estar
por crecer y engendrar
cerca del bien que gozaste
y además
dale gracias al ángel
dale gracias por estar
cerca de tí

Es inútil que pretendas brillar
con tu historia personal
recuerda que un guerrero no detiene jamás
su marcha.",spinetta
"Las horas caen llevándose, esta vez
Todo lo que el viento me habló
Eterno el día sin esperar, ya volvió
Con tu cielo que se abre en dos

Niño precioso, que no entiende nada ya
Cuando apareces tu energía es tan diáfana
Escóndeme, antes de que mire el mundo

La soledad no habrá de cambiar mi querer
Ni el ambicioso mundo lo hará
Yo sé que acaso podrás sentir ese ardor
Otra vez, el mismo amor

Niño precioso, que no entiende nada ya
Cuando apareces tu energía es tan diáfana
Escóndeme, antes de que mire el mundo

Yo sé, yo sé que acaso
Entiendes el lenguaje del cielo

Y te recompensará con su sal el mar
Y solo eso será, solo eso será
De tu boca saldrá la oveja del agua
Solo eso será, solo eso será
Y es que al fin, así, libre serás

Yo sé que acaso
Entiendes el lenguaje del cielo

Las horas caen llevándose, esta vez
Todo lo que el viento me habló
La soledad no habrá de cambiar
Mi querer esta vez

Niño precioso, que no entiende mas nada ya
Cuando apareces todo es diáfano
Escóndeme, antes de que mire el mundo

Yo sé que acaso
Entiendes el lenguaje del cielo",spinetta
"Pronto el sol estallará
y no habrá cielo entre nosotros
Quedará este sueño final,
sólo un niño con sus alas

Algún arbol que nos dé luz
guiará nuestra partida
La llegada de un gran amor
tan sólo durará en el viento

Ya no hay voces desde aquí,
ya no hay gestos en ningún lugar
Todo se quedó tal cual,
yo sólo quiero verte llegar

Cada vez que caes a mí,
cada vez me cortas el aire
Yo nunca pude verte bailar,
quizás ya no podré mirarte
Voy marchándome en tu reloj,
voy viajando para siempre
Na, na, na ,na, yeh.

Estoy sentado aquí en el atolón
Estoy sentado y plantado aquí en el atolón

Voy marchándome en tu reloj,
voy viajando para siempre
¿Cuándo acabará este dolor
y qué será de toda la gente?
Cada vez que cae el sol,
cada vez me cortas el aire, nena
Na, na ,na ,na, yeh.

Ya no hay voces desde aquí,
ya no hay ecos en ningún lugar
Todo se quedó tal cual,
yo sólo quiero verte llegar


Algún arbol que nos dé luz
guiará nuestra partida
La llegada de un gran amor
tan sólo durará en el viento

Tan sólo durará en el viento
Tan sólo durará en el viento",spinetta
"Hice esta canción para vos
Para que cuando estés solo
Sepas que siempre voy a estar con vos
Aunque pase el tiempo
Yo me ponga viejo
Y me falte la voz

Este amor es diferente
Es que lo nuestro es para siempre
Siempre, siempre, hasta la muerte

Cada vez que decís papi
Te brillan los ojitos
Veo que estás creciendo
Y sos tan chiquitito
Un beso y un abrazo tuyo
Es lo que necesito
Es lo que necesito

Sos el mejor verso
Que nunca había escrito
No me llevas al cielo
Me llevas al infinito
Si es momento es con vos
Es mi momento favorito
Es mi momento favorito

Sos la luz que guía mi caminar
Sos el aire que respiro
Para no bardear
Sos mi wachin
Y mucho más
Sos mi fuerza de mi voz
A la hora de cantar

Nosotros somos los mejores amigos
En mi podés confiar
Que nada te va a pasar
Mientras yo viva acá voy a estar
Y si me pasa algo, tranqui pa
Que está mamá
Yo mato y muero por vos
Y no estás solo
No lo dudes jamás

Y si reis voy a reír
Y lloras voy a cuidarte
Sos feliz soy feliz
Es que yo solo quiero amarte
Y quiero decirte que te amo de más
Que sos mis ganas de vivir
Y no quiero que crezcas más

Hice esta canción para
Para que cuando estes solo
Sepas que siempre voy a estar con vos
Aunque pase el tiempo
Yo me ponga viejo
Y me falte la voz

Este amor es diferente
Es que lo nuestro es para siempre
Siempre, siempre, hasta la muerte

El amor que tengo es un sentimiento
Que jamás conocí
Que jamás conocí
Hasta el día que te vi
Y fui feliz
Y vos estabas ahí
Yo no supe que decir
Por fin encontré lo que un día perdí

Me encanta verte dormir
Me encanta verte despertar
Me encanta verte sonreír
Me encanta verte jugar
Quiero acostar en tu pecho
Y escuchar tu corazón latir
Para olvidarme de todo lo que hice mal

Quiero guardar tu risa en una caja
Y escucharla cuando esté triste
Quiero hacerte upa
Como cuando en mi vida apareciste
Quiero que logres todo lo que te propongas
Y disfrutes de lo que hiciste

Hice esta canción para
Para que cuando estés solo
Sepas que siempre voy a estar con vos
Aunque pase el tiempo
Yo me ponga viejo
Y me falte la voz

Este amor es diferente
Es que lo nuestro es para siempre
Siempre, siempre, hasta la muerte",callejero
